,parkID,Capacity
0,ANA01,64573
1,ARL01,43521
2,ARL02,49178
3,ATL01,53046
4,ATL02,50528
5,ATL03,41149
6,BAL03,5000
7,BAL07,11000
8,BAL11,54076
9,BAL12,48290
10,BOS02,4000
11,BOS03,8500
12,BOS05,11000
13,BOS06,14000
14,BOS07,37949
15,BOS08,46500
16,BUF02,5000
17,CHI01,7000
18,CHI03,5000
19,CHI04,10000
20,CHI06,6000
21,CHI08,16000
22,CHI09,15000
23,CHI10,52934
24,CHI11,41649
25,CHI12,47098
26,CIN05,9000
27,CIN06,12000
28,CIN07,33000
29,CIN08,52953
30,CIN09,42319
31,CLE05,12600
32,CLE06,22500
33,CLE07,78189
34,CLE08,43863
35,COL01,6500
36,COL02,6500
37,DEN01,76123
38,DEN02,50480
39,DET02,14000
40,DET03,6500
41,DET04,58000
42,DET05,41681
43,FTB01,12500
44,HON01,50000
45,HOU01,32601
46,HOU02,54816
47,HOU03,42060
48,KAN05,35561
49,KAN06,40793
50,LAS01,9500
51,LBV01,9500
52,LON01,60000
53,LOS01,92572
54,LOS02,20457
55,LOS03,56000
56,MIA01,47662
57,MIA02,41418
58,MIL01,4000
59,MIL03,10000
60,MIL04,10000
61,MIL05,53192
62,MIL06,42885
63,MIN02,45919
64,MIN03,55883
65,MIN04,39500
66,MNT01,27000
67,MON01,29125
68,MON02,60111
69,NYC01,1500
70,NYC03,20709
71,NYC05,3000
72,NYC08,3000
73,NYC09,15000
74,NYC10,16000
75,NYC12,16000
76,NYC13,17000
77,NYC14,56000
78,NYC15,35000
79,NYC16,82000
80,NYC17,55777
81,NYC19,18800
82,NYC20,41922
83,NYC21,50291
84,OAK01,50000
85,OMA01,24000
86,PHI06,15000
87,PHI09,20000
88,PHI10,13600
89,PHI11,33608
90,PHI12,62409
91,PHI13,43826
92,PHO01,49033
93,PIT01,2500
94,PIT04,17000
95,PIT05,16000
96,PIT06,41000
97,PIT07,58722
98,PIT08,38496
99,SAN01,67544
100,SAN02,46000
101,SEA01,25000
102,SEA02,59438
103,SEA03,47943
104,SFO01,23500
105,SFO02,58945
106,SFO03,41915
107,SJU01,19000
108,STL01,3000
109,STL03,12000
110,STL04,10000
111,STL05,20000
112,STL06,17000
113,STL07,34500
114,STL09,57673
115,STL10,45538
116,STP01,45000
117,SYD01,47000
118,TOK01,55000
119,TOR01,43737
120,TOR02,53506
121,WAR01,10000
122,WAS01,500
123,WAS04,6000
124,WAS05,6000
125,WAS06,6500
126,WAS07,7000
127,WAS08,9000
128,WAS09,35000
129,WAS10,46500
130,WAS11,41922
131,WIL02,2366
132,ARL03,40300
133,BUF05,16600
134,DYE01,8000
135,DUN01,8500
136,NEW01,20062
